
Datetime,Symbol,Open,High,Low,Close,Volume,Open Interest
2021-02-26 09:15:00,15500PE,732.45,732.45,613.6,634.7,8775,1753650
2021-02-26 09:30:00,15500PE,634.7,651.0,600.0,646.55,7350,1876350
2021-02-26 09:45:00,15500PE,646.55,660.0,614.3,647.6,2700,1753800
2021-02-26 10:00:00,15500PE,647.6,660.0,634.95,651.2,1800,1133550
2021-02-26 10:15:00,15500PE,655.0,742.4,655.0,727.6,9375,1640625
2021-02-26 10:30:00,15500PE,727.6,732.15,715.0,717.55,1425,1142250
2021-02-26 10:45:00,15500PE,717.55,752.4,717.55,752.4,3375,895275
2021-02-26 11:00:00,15500PE,752.4,802.95,752.4,799.95,2850,1152000
2021-02-26 11:15:00,15500PE,799.95,862.7,795.7,862.7,1800,900000
2021-02-26 11:30:00,15500PE,862.7,880.0,835.45,852.7,1800,1030200
2021-02-26 11:45:00,15500PE,852.7,860.0,824.25,842.0,3450,1028250
2021-02-26 12:00:00,15500PE,842.0,900.0,842.0,900.0,2550,514650
2021-02-26 12:15:00,15500PE,900.0,931.7,885.55,900.0,600,901950
2021-02-26 12:30:00,15500PE,900.0,962.05,899.15,955.0,975,906075
2021-02-26 12:45:00,15500PE,955.0,955.0,898.5,898.5,300,258825
2021-02-26 13:00:00,15500PE,898.5,935.0,880.0,935.0,450,775725
2021-02-26 13:15:00,15500PE,935.0,940.0,899.0,899.0,1125,386850
2021-02-26 13:30:00,15500PE,899.0,925.0,899.0,904.35,225,257925
2021-02-26 13:45:00,15500PE,904.35,904.35,875.15,886.55,750,385500
2021-02-26 14:00:00,15500PE,886.55,886.55,801.0,801.0,2250,1283250
2021-02-26 14:15:00,15500PE,801.0,865.0,801.0,833.9,825,898800
2021-02-26 14:30:00,15500PE,833.9,866.9,824.05,830.0,900,899100
2021-02-26 14:45:00,15500PE,830.0,872.9,825.0,866.9,2475,644250
2021-02-26 15:00:00,15500PE,925.0,970.5,915.55,955.0,2025,1544400
2021-02-26 15:15:00,15500PE,959.15,1009.55,959.15,976.8,2775,1163025
