
Datetime,Symbol,Open,High,Low,Close,Volume,Open Interest
2021-01-29 15:15:00,12000CE,1670.0,1670.0,1660.0,1660.0,3900,6900
2021-02-01 09:15:00,12000CE,1720.0,1720.0,1715.0,1715.0,1875,18450
2021-02-01 09:30:00,12000CE,1710.0,1710.0,1685.0,1685.0,2700,18825
2021-02-01 11:15:00,12000CE,1844.7,1844.7,1780.2,1780.2,150,17400
2021-02-01 12:00:00,12000CE,1870.0,1870.0,1862.0,1862.0,1650,17400
2021-02-01 12:15:00,12000CE,1867.8,1867.8,1867.8,1867.8,75,10200
2021-02-01 12:45:00,12000CE,1999.9,2123.05,1999.9,2123.05,300,20175
2021-02-01 14:30:00,12000CE,2296.0,2296.0,2296.0,2296.0,75,10050
2021-02-01 14:45:00,12000CE,2269.95,2300.0,2269.95,2300.0,150,19950
2021-02-01 15:00:00,12000CE,2278.25,2310.0,2270.0,2291.2,3450,56550
2021-02-01 15:15:00,12000CE,2302.65,2399.35,2302.65,2399.35,2175,39150
2021-02-02 09:30:00,12000CE,2640.0,2650.0,2630.4,2630.4,2100,60300
2021-02-02 11:15:00,12000CE,2602.0,2602.0,2600.0,2600.0,1275,33600
2021-02-02 11:30:00,12000CE,2595.0,2595.0,2595.0,2595.0,525,18075
2021-02-02 11:45:00,12000CE,2535.0,2535.0,2535.0,2535.0,600,18600
2021-02-02 12:45:00,12000CE,2550.0,2550.0,2550.0,2550.0,525,19200
2021-02-02 13:00:00,12000CE,2615.0,2625.0,2615.0,2625.0,225,39300
2021-02-02 13:15:00,12000CE,2628.0,2628.0,2628.0,2628.0,75,19500
2021-02-02 13:30:00,12000CE,2630.0,2650.0,2630.0,2650.0,225,58125
2021-02-02 13:45:00,12000CE,2645.0,2645.0,2595.0,2595.0,3600,60600
2021-02-02 14:00:00,12000CE,2630.0,2639.0,2630.0,2639.0,300,22650
2021-02-02 14:15:00,12000CE,2678.0,2679.9,2650.0,2675.0,2700,112200
2021-02-02 14:30:00,12000CE,2680.0,2690.0,2680.0,2690.0,300,49125
2021-02-02 14:45:00,12000CE,2633.0,2633.0,2633.0,2633.0,600,24375
2021-02-02 15:00:00,12000CE,2638.0,2660.0,2630.0,2660.0,2625,79725
2021-02-02 15:15:00,12000CE,2658.0,2697.9,2658.0,2697.9,450,80850
2021-02-03 09:15:00,12000CE,2650.0,2650.0,2650.0,2650.0,600,26850
2021-02-03 09:30:00,12000CE,2692.0,2700.0,2591.85,2591.85,1650,109800
2021-02-03 10:00:00,12000CE,2720.0,2740.0,2715.0,2740.0,1050,113925
2021-02-03 10:15:00,12000CE,2775.0,2775.0,2775.0,2775.0,225,28500
2021-02-03 10:30:00,12000CE,2801.0,2801.0,2801.0,2801.0,300,28275
2021-02-03 11:00:00,12000CE,2806.0,2806.0,2806.0,2806.0,300,27975
2021-02-03 11:15:00,12000CE,2808.0,2810.0,2808.0,2810.0,600,55350
2021-02-03 11:30:00,12000CE,2790.0,2790.0,2790.0,2790.0,600,27075
2021-02-03 11:45:00,12000CE,2790.0,2790.0,2790.0,2790.0,600,27675
2021-02-03 12:30:00,12000CE,2830.0,2835.0,2830.0,2835.0,600,56550
2021-02-03 13:45:00,12000CE,2850.0,2850.0,2850.0,2850.0,1200,55950
2021-02-03 14:00:00,12000CE,2847.0,2847.0,2832.0,2832.0,1800,58950
2021-02-03 14:30:00,12000CE,2858.0,2860.95,2840.0,2840.0,1500,92625
2021-02-03 14:45:00,12000CE,2832.0,2832.0,2800.0,2800.0,2850,163650
2021-02-04 09:30:00,12000CE,2740.0,2760.0,2728.0,2760.0,8625,268875
2021-02-04 09:45:00,12000CE,2760.0,2760.0,2750.0,2750.0,8925,198675
2021-02-04 10:15:00,12000CE,2751.0,2751.0,2751.0,2751.0,600,34500
2021-02-04 10:30:00,12000CE,2742.0,2743.0,2742.0,2743.0,1425,33300
2021-02-04 10:45:00,12000CE,2723.0,2730.0,2723.0,2730.0,3525,72825
2021-02-04 11:00:00,12000CE,2735.0,2780.0,2735.0,2780.0,11700,83325
2021-02-04 14:45:00,12000CE,2900.0,2900.0,2890.0,2890.0,375,22950
2021-02-04 15:00:00,12000CE,2905.0,2905.0,2903.0,2903.0,300,7425
2021-02-04 15:15:00,12000CE,2881.0,2881.0,2881.0,2881.0,75,7350
2021-01-29 09:15:00,12000PE,1.95,2.55,1.8,2.1,458325,7981800
2021-01-29 09:30:00,12000PE,2.05,2.15,1.65,1.75,430200,8286300
2021-01-29 09:45:00,12000PE,1.7,1.85,1.7,1.85,112050,7750275
2021-01-29 10:00:00,12000PE,1.8,1.8,1.7,1.75,110475,7211100
2021-01-29 10:15:00,12000PE,1.75,2.05,1.75,2.05,141675,7781250
2021-01-29 10:30:00,12000PE,2.05,2.15,1.85,2.1,133875,7762725
2021-01-29 10:45:00,12000PE,2.1,2.2,1.95,2.1,89175,7777950
2021-01-29 11:00:00,12000PE,2.05,2.05,1.85,1.9,72600,7193925
2021-01-29 11:15:00,12000PE,1.9,1.9,1.75,1.8,211650,7773900
2021-01-29 11:30:00,12000PE,1.85,2.0,1.85,2.0,42675,6679725
2021-01-29 11:45:00,12000PE,2.0,2.1,1.95,2.1,36675,7081425
2021-01-29 12:00:00,12000PE,2.1,2.3,2.0,2.15,60225,7662000
2021-01-29 12:15:00,12000PE,2.1,2.15,1.95,1.95,62250,7778550
2021-01-29 12:30:00,12000PE,1.95,2.05,1.8,1.95,97425,7836225
2021-01-29 12:45:00,12000PE,1.95,2.05,1.85,1.95,42375,7840500
2021-01-29 13:00:00,12000PE,1.95,2.05,1.9,2.0,82050,7868475
2021-01-29 13:15:00,12000PE,2.0,2.05,1.95,2.05,30975,6293925
2021-01-29 13:30:00,12000PE,2.05,2.4,2.0,2.3,147825,7897800
2021-01-29 13:45:00,12000PE,2.3,2.45,2.25,2.35,124800,7857525
2021-01-29 14:00:00,12000PE,2.35,2.45,2.1,2.1,78600,7864125
2021-01-29 14:15:00,12000PE,2.1,2.25,2.05,2.15,231600,8091600
2021-01-29 14:30:00,12000PE,2.15,2.3,2.05,2.3,147600,8150025
2021-01-29 14:45:00,12000PE,2.3,2.55,2.25,2.5,157200,8384925
2021-01-29 15:00:00,12000PE,2.5,3.15,2.45,2.7,227700,8723625
2021-01-29 15:15:00,12000PE,2.65,3.75,2.65,3.15,292800,9537150
2021-02-01 09:15:00,12000PE,2.85,3.85,2.75,3.1,363600,10650600
2021-02-01 09:30:00,12000PE,3.1,3.7,3.0,3.55,164700,10841250
2021-02-01 09:45:00,12000PE,3.55,3.95,3.5,3.85,352050,11550975
2021-02-01 10:00:00,12000PE,3.8,4.0,3.45,3.75,297750,13557450
2021-02-01 10:15:00,12000PE,3.75,3.95,3.5,3.85,126225,14199600
2021-02-01 10:30:00,12000PE,3.85,4.0,3.5,3.55,96900,14109075
2021-02-01 10:45:00,12000PE,3.5,3.7,3.45,3.6,66825,14101350
2021-02-01 11:00:00,12000PE,3.65,3.9,3.55,3.75,82800,14232450
2021-02-01 11:15:00,12000PE,3.7,3.75,2.8,2.9,120525,14530125
2021-02-01 11:30:00,12000PE,2.85,3.2,2.85,3.05,180600,14957925
2021-02-01 11:45:00,12000PE,3.05,3.1,2.75,2.85,207000,16195275
2021-02-01 12:00:00,12000PE,2.85,3.2,2.25,2.95,136950,16476000
2021-02-01 12:15:00,12000PE,2.95,3.0,2.65,2.7,98250,16788975
2021-02-01 12:30:00,12000PE,2.8,2.9,2.35,2.6,122625,17057925
2021-02-01 12:45:00,12000PE,2.6,2.8,1.6,1.85,523500,17632125
2021-02-01 13:00:00,12000PE,1.8,2.2,1.6,1.8,399375,17950500
2021-02-01 13:15:00,12000PE,1.8,1.85,1.5,1.55,156225,18703500
2021-02-01 13:30:00,12000PE,1.6,1.6,1.3,1.35,256800,18255525
2021-02-01 13:45:00,12000PE,1.35,1.65,1.35,1.6,440400,17578500
2021-02-01 14:00:00,12000PE,1.6,1.6,1.45,1.55,167400,18856350
2021-02-01 14:15:00,12000PE,1.55,1.65,1.35,1.4,117675,18682800
2021-02-01 14:30:00,12000PE,1.4,1.55,1.35,1.4,269400,18329475
2021-02-01 14:45:00,12000PE,1.4,1.55,1.4,1.45,164550,19463550
2021-02-01 15:00:00,12000PE,1.45,1.65,1.4,1.5,158850,19639275
2021-02-01 15:15:00,12000PE,1.5,1.65,1.3,1.5,124800,18436575
2021-02-02 09:15:00,12000PE,1.15,1.25,0.9,1.15,117900,18898950
2021-02-02 09:30:00,12000PE,1.2,1.35,1.15,1.2,101025,18593550
